Grade,Subject,Unit #,Unit Title,Unit Objective,Skills Tested,Lesson 1 Title,Lesson 1 Bloom,Lesson 2 Title,Lesson 2 Bloom,Lesson 3 Title,Lesson 3 Bloom,Lesson 4 Title,Lesson 4 Bloom,Lesson 5 Title,Lesson 5 Bloom,Lesson 6 Title,Lesson 6 Bloom,Lesson 7 Title,Lesson 7 Bloom,Lesson 8 Title,Lesson 8 Bloom,Lesson 9 Title,Lesson 9 Bloom,Lesson 10 Title,Lesson 10 Bloom,Lesson 11 Title,Lesson 11 Bloom,Lesson 12 Title,Lesson 12 Bloom,Lesson 13 Title,Lesson 13 Bloom,Lesson 14 Title,Lesson 14 Bloom,Lesson 15 Title,Lesson 15 Bloom,Lesson 16 Title,Lesson 16 Bloom,Lesson 17 Title,Lesson 17 Bloom,Lesson 18 Title,Lesson 18 Bloom,Lesson 19 Title,Lesson 19 Bloom,Lesson 20 Title,Lesson 20 Bloom
K,Reading,7,Cause & Effect in Stories,Recognize simple cause-and-effect relationships in stories.,"logical thinking, cause/effect, story understanding",Introducing Main Idea,Remember,Looking at Pictures for Clues,Understand,Matching Titles to Pictures,Apply,Listening for Important Words,Apply,Drawing the Main Idea,Apply,Sorting Sentences by Topic,Analyze,Using a Word Web,Apply,Finding the Main Idea Together,Apply,Choosing the Best Title,Analyze,Making a Class Topic Chart,Apply,Explaining Our Main Idea,Understand,Making a Main Idea Book,Apply,Identifying What the Story Is Mostly About,Analyze,Main Idea Matching Game,Create,Making a Poster About a Topic,Understand,Talking About Nonfiction Books,Apply,Drawing and Writing the Main Idea,Evaluate,Creating Main Idea Collages,Apply,Sharing What We Learned,Evaluate,Main Idea Celebration,Create
K,Reading,8,Poetry & Creative Language,"Enjoy and respond to rhymes, rhythm, and playful language.","rhyme recognition, phonemic awareness, oral fluency",What Is an Author?,Remember,What Is an Illustrator?,Understand,Exploring the Author‚Äôs Job,Apply,Exploring the Illustrator‚Äôs Job,Apply,Matching Authors and Books,Apply,Learning About Book Creators,Analyze,Making Our Own Book Covers,Apply,Interviewing an Author (Role Play),Apply,Explaining What Authors Do,Analyze,Explaining What Illustrators Do,Apply,Making an Author and Illustrator Poster,Understand,Reading Books by the Same Author,Apply,Talking About Illustrations,Analyze,Explaining Why Pictures Matter,Create,Making Our Own Picture Books,Understand,Sharing Our Book Ideas,Apply,Writing a Letter to an Author,Evaluate,Creating a Book Creator Chart,Apply,Author and Illustrator Day,Evaluate,Book Creator Celebration,Create
K,Reading,9,Research & Fact vs Fiction,Understand the difference between real and make-believe information.,"nonfiction features, fact identification, categorization",What Is an Opinion?,Remember,Sharing Our Favorite Books,Understand,Choosing Between Two Options,Apply,Saying Why We Like Something,Apply,Drawing Our Opinion,Apply,Using 'Because' in a Sentence,Analyze,Making an Opinion Chart,Apply,Explaining Book Preferences,Apply,Opinion Partner Share,Analyze,Writing a Sentence About Our Favorite,Apply,Sorting Likes and Dislikes,Understand,Listening to a Friend‚Äôs Opinion,Apply,Comparing Favorite Characters,Analyze,Creating a Book Voting Chart,Create,Making a Favorite Book Poster,Understand,Using Thumbs Up/Down Opinions,Apply,Explaining Our Opinion Choices,Evaluate,Drawing and Writing Our Opinions,Apply,Presenting Our Book Picks,Evaluate,Opinion Celebration Day,Create
K,Reading,10,Text Connections,Make simple connections between text and self or experiences.,"text-to-self, comprehension, empathy",What Is a Text-to-Self Connection?,Remember,Thinking About Our Own Experiences,Understand,Matching Feelings from Stories,Apply,Drawing a Story That Feels Familiar,Apply,Sharing a Connection with a Friend,Apply,Writing a Sentence About a Connection,Analyze,Explaining How We Connect to a Story,Apply,Reading Books with Strong Emotions,Apply,Creating a Class Connection Chart,Analyze,Making a Story Feelings Book,Apply,Drawing a Memory That Connects to a Story,Understand,Using 'This Reminds Me Of...',Apply,Sorting Stories by Connection Type,Analyze,Sharing Family-Related Connections,Create,Role Playing Personal Connections,Understand,Choosing a Book That Feels Familiar,Apply,Making a Connection Collage,Evaluate,Creating Text-to-Self Flip Books,Apply,Connection Sharing Circle,Evaluate,Connection Celebration,Create
K,Reading,11,Writing Projects,Dictate or illustrate ideas for a shared class book or personal story.,"idea development, storytelling, creative expression",What Is a Poem?,Remember,Listening for Rhymes,Understand,Clapping Out Syllables in Poems,Apply,Drawing Pictures for Poems,Apply,Repeating Rhyming Lines,Apply,Reading Nursery Rhymes Aloud,Analyze,Creating a Class Rhyme Book,Apply,Writing Rhyming Words Together,Apply,Acting Out Silly Poems,Apply,Singing Simple Poems,Create,Sorting Rhyming vs Non-Rhyming,Understand,Making Rhyming Word Charts,Apply,Creating a Rhyme Wall,Analyze,Building a Poem with Sentence Strips,Create,Poetry and Motion (Movement Poems),Apply,Poetry Centers Rotation,Apply,Partner Rhyme Practice,Evaluate,Illustrating Favorite Poems,Evaluate,Performing a Poem,Apply,Kindergarten Poetry Jam,Create
K,Reading,12,Book Celebration & Publishing,Celebrate reading growth with book sharing and class presentations.,"presentation, reading confidence, summarization",What Did We Learn This Year?,Remember,Reviewing Our Favorite Books,Understand,Revisiting Author and Illustrator Lessons,Apply,Retelling Favorite Stories,Apply,Drawing Our Best Characters,Apply,Recreating Favorite Settings,Analyze,Making a Class Book of Favorites,Apply,Reviewing Reading Strategies,Apply,Playing Reading Games,Apply,Acting Out Book Moments,Create,Creating a Reading Crown,Understand,Sharing Our Reading Goals,Apply,Looking at Our Growth,Analyze,Making a Memory Quilt (Paper),Create,Decorating Reading Folders,Apply,Signing Peer Reading Posters,Apply,Reading Picnic Day,Evaluate,Letter to My Future Teacher,Evaluate,Practicing a Reading Performance,Apply,End-of-Year Reading Celebration,Create
K,Science,1,What Is Science?,Explore what science means and how scientists observe and ask questions.,"observation, questioning, using senses",What Is Science?,Remember,Using My Senses to Explore,Understand,Asking Questions Like a Scientist,Understand,Observation Walk,Apply,Partner Talk: What Did You Notice?,Reflect,Drawing: What I Observed,Create,Sorting: Living vs. Nonliving,Analyze,Storytime: A Scientistís Adventure,Understand,Journaling: What I Learned From Observations,Reflect,Group Discussion: Why Scientists Ask Questions,Analyze,Experiment: Simple Observation Activity,Apply,Visualization: Imagine Being a Scientist,Apply,Interview: Ask an Adult About Science,Apply,Writing Prompt: What Do I Want to Learn?,Create,Role Play: Being a Scientist,Apply,Partner Share: My Favorite Science Activity,Reflect,Group Project: Build a Science Exploration Kit,Create,Reflection Circle: What Science Means to Me,Reflect,Presentation: My Science Exploration,Evaluate,Celebration: Science Day,Reflect
K,Science,2,Living vs Nonliving Things,Identify characteristics of living things and distinguish them from nonliving.,"classification, trait identification, comparison",What Makes Something Living?,Remember,Characteristics of Living Things,Understand,Sorting: Living vs. Nonliving,Analyze,Storytime: Animals and Plants,Understand,Partner Share: My Favorite Living Thing,Reflect,Drawing: Living Things I Know,Create,Journaling: How Living Things Grow,Reflect,Role Play: Pretend to Be an Animal or Plant,Apply,Group Discussion: Why Living Things Are Important,Analyze,Visualization: Imagine Life as a Plant or Animal,Apply,Sorting Game: Living and Nonliving Things,Analyze,Interview: Ask Someone About Their Favorite Animal,Apply,Writing Prompt: What Living Things Do,Create,Partner Challenge: Share a Living Thing Fact,Reflect,Creating a Class Chart of Living Things,Create,Reflection Circle: What I Learned About Living Things,Reflect,Presentation: My Favorite Living Thing,Evaluate,Experiment: Planting Seeds,Apply,Journaling: What Plants Need to Grow,Reflect,Celebration: Living Things Showcase,Reflect
K,Science,3,Weather & Seasonal Patterns,Observe and describe daily and seasonal weather changes.,"weather vocabulary, data tracking, pattern recognition",What Is Weather?,Remember,Types of Weather,Understand,Observing Daily Weather,Apply,Storytime: Seasons and Weather,Understand,Partner Share: Favorite Weather,Reflect,Drawing: Weather Patterns,Create,Weather Tracking Chart,Create,Sorting: Weather Types,Analyze,Journaling: How Weather Changes,Reflect,Role Play: Acting Out Weather,Apply,Visualization: Imagine Different Seasons,Apply,Interview: Ask Someone About Their Favorite Season,Apply,Writing Prompt: My Favorite Season,Create,Partner Talk: Weather Changes,Reflect,Group Discussion: Why Weather Matters,Analyze,Experiment: Simple Weather Observations,Apply,Presentation: My Weather Chart,Evaluate,Sorting Game: Match Weather to Season,Analyze,Reflection Circle: What I Learned About Weather,Reflect,Celebration: Weather Day,Reflect
K,Science,4,Observe & Record,Use tools and drawings to observe and document things in the environment.,"observation, recording, communication",How to Observe Carefully,Remember,Using Tools to Help Us Observe,Understand,Drawing What We See,Apply,Storytime: A Scientistís Journal,Understand,Partner Share: What I Noticed,Reflect,Journaling: My Observation Notes,Reflect,Sorting: Good vs. Poor Observations,Analyze,Experiment: Recording Data,Apply,Visualization: Imagine Being a Scientist,Apply,Interview: Ask Someone About Their Observations,Apply,Writing Prompt: What I Saw,Create,Role Play: Sharing Observations,Apply,Group Discussion: Why Recording Observations Matters,Analyze,Creating an Observation Journal,Create,Partner Challenge: Take Notes Outside,Apply,Reflection Circle: What I Learned About Observing,Reflect,Presentation: My Observation Journal,Evaluate,Sorting Game: Matching Observations,Analyze,Celebration: Science Observation Day,Reflect,Drawing Project: My Favorite Observations,Create
K,Science,5,Forces & Motion,"Explore how things move by pushing, pulling, and rolling.","motion, force, experimentation",What Are Forces?,Remember,"Types of Motion: Push, Pull, Roll",Understand,Storytime: Moving Things,Understand,Experiment: Rolling and Sliding,Apply,Partner Share: How Things Move,Reflect,Journaling: What I Learned About Forces,Reflect,Sorting: Objects That Move and Donít Move,Analyze,Role Play: Acting Out Forces,Apply,Creating a Motion Chart,Create,Visualization: Imagine Forces at Work,Apply,Group Discussion: Why Things Move,Analyze,Interview: Ask Someone About Motion,Apply,Writing Prompt: How I Move Things,Create,Partner Talk: Forces Around Me,Reflect,Experiment: Pushing and Pulling Objects,Apply,Reflection Circle: What I Learned About Motion,Reflect,Presentation: My Motion Chart,Evaluate,Sorting Game: Match Forces and Motion,Analyze,Celebration: Forces and Motion Day,Reflect,Drawing Project: Things That Move,Create
K,Science,6,Science in Everyday Life,"Notice science all around us through cooking, cleaning, and outdoor play.","real-world application, observation, cause/effect",Where Do We See Science?,Remember,Storytime: Science at Home,Understand,Observing Science in Cooking,Apply,Partner Share: Science I See Everyday,Reflect,Journaling: How Science Helps Us,Reflect,Experiment: Simple Science Activities,Apply,Drawing: Science in My Life,Create,Group Discussion: Science Outside,Analyze,Visualization: Imagine Science Everywhere,Apply,Interview: Ask Someone About Their Science Experiences,Apply,Writing Prompt: My Favorite Science Moment,Create,Role Play: Using Science to Solve Problems,Apply,Sorting: Science Tools and Uses,Analyze,Partner Challenge: Find Science at Play,Reflect,Creating a Science Scrapbook,Create,Reflection Circle: What I Learned About Science,Reflect,Presentation: My Science Scrapbook,Evaluate,Group Project: Science Fair Preparation,Apply,Celebration: Science Fair,Reflect,Poster Project: Science Around Me,Create
K,Science,7,Energy & Environment,"Explore light, sound, and heat in familiar settings.","sensory awareness, cause/effect, energy sources",What Is Energy?,Remember,Exploring Light and Sound,Understand,Storytime: How Heat Changes Things,Understand,Experiment: Exploring Light and Sound,Apply,Partner Share: What Energy I Use,Reflect,Journaling: How Heat Feels,Reflect,Sorting: Sources of Energy,Analyze,Role Play: Energy Around Me,Apply,Creating a Chart of Energy Sources,Create,Visualization: Imagine Different Energy Forms,Apply,Group Discussion: Why Energy Matters,Analyze,Interview: Ask Someone About Energy Use,Apply,Writing Prompt: How I Use Energy,Create,Partner Challenge: Energy Sources Hunt,Apply,Group Project: Build an Energy Model,Create,Reflection Circle: What I Learned About Energy,Reflect,Presentation: My Energy Model,Evaluate,Sorting Game: Match Energy Sources,Analyze,Celebration: Energy and Environment Day,Reflect,Drawing Project: Energy Around Me,Create
K,Science,8,Experiments & Inquiry,Engage in simple guided experiments to ask and answer ìwhat happens if?î,"prediction, trial-and-error, measurement",What Is an Experiment?,Remember,Asking Questions About Science,Understand,Storytime: A Fun Experiment,Understand,Conducting a Simple Experiment,Apply,Partner Share: What Happened?,Reflect,Journaling: My Experiment Notes,Reflect,Sorting: What Worked and What Didnít,Analyze,Visualization: Imagine Being a Scientist,Apply,Role Play: Explaining My Experiment,Apply,Interview: Ask Someone About Their Experiments,Apply,Writing Prompt: What I Learned From My Experiment,Create,Group Discussion: Why Experiments Are Important,Analyze,Creating an Experiment Plan,Create,Partner Challenge: Try an Experiment at Home,Apply,Group Project: Science Experiment Fair,Apply,Reflection Circle: What I Learned About Inquiry,Reflect,Presentation: My Experiment Report,Evaluate,Sorting Game: Match Experiments and Outcomes,Analyze,Celebration: Science Inquiry Day,Reflect,Poster Project: ìQuestions and Discoveriesî,Create
